Players,PTS
.W. Matthews,7.2
.W. Iwundu,4.2
.V. Oladipo,17.8
.T. Warren,20
.T. Ross,16.4
.T. Luwawu-Cabarrot,16
.T. Johnson,13.8
.T. Herro,16
.T. Harris,15.8
.T. Hardaway Jr.,17.8
.T. Craig,4.5
.T. Burke,12.3
.S. Milton,14.5
.S. Ibaka,14.8
.S. Gilgeous-Alexander,16.3
.S. Adams,10.1
.R. Williams III,3.7
.R. Westbrook,17.9
.R. Rondo,8.9
.R. O'Neale,5.6
.R. Jackson,4.9
.R. Gobert,16.9
.R. Covington,11.2
.P. Tucker,7.9
.P. Siakam,17
.P. Millsap,8
.P. George,20.2
.P. Beverley,6.3
.O. Anunoby,10.5
.N. Vucevic,28
.N. Powell,13.4
.N. Jokic,24.4
.Monte. Morris,9.1
.M. Turner,15.8
.M. Smart,14.5
.M. Porter Jr.,11.4
.M. Plumlee,2.4
.M. Morris Sr.,11.8
.Markieff. Morris,5.9
.M. Kleber,6.7
.M. Harrell,10.5
.M. Gasol,6
.M. Fultz,12
.M. Conley,19.8
.M. Brogdon,21.5
.L. Williams,12.8
.L. Shamet,5.2
.L. James,27.6
.L. Dort,12.5
.L. Doncic,31
.K. Walker,19.6
.K. Porzingis,23.7
.K. Olynyk,7.6
.K. Nunn,6.1
.K. Middleton,20.3
.K. Lowry,17.7
.K. Leonard,28.2
.K. Kuzma,10
.K. Caldwell-Pope,10.7
.K. Birch,4.8
.Jeff. Green,11.6
.J. Tatum,25.7
.J. Richardson,16.8
.J. Nurkic,14.2
.J. Murray,26.5
.J. McGee,2.9
.J. Ingles,9.1
.J. Holiday,7.3
.J. Harris,16.5
.J. Harden,29.6
.J. Green,6.1
.J. Grant,11.6
.J. Ennis III,7
.J. Embiid,30
.J. Crowder,12
.J. Clarkson,16.7
.J. Butler,22.2
.J. Brown,21.8
.J. Allen,10.3
.I. Zubac,9.1
.H. Whiteside,6.8
.G. Williams,2.8
.G. Trent Jr.,9.6
.G. Temple,12
.G. Hayward,10.8
.G. Niang,8.3
.G. Harris,7.4
.G. Dragic,19.1
.G. Clark,7.4
.G. Antetokounmpo,26.7
.F. VanVleet,19.6
.E. Kanter,4.5
.E. Gordon,17.3
.E. Fournier,12.8
.E. Bledsoe,11.7
.D. Theis,8.9
.D. Schroder,17.3
.D. Robinson,11.7
.D. Mitchell,36.3
.D. Lillard,24.3
.D. Jones Jr.,1.5
.D. Howard,5.8
.D. House Jr.,11.4
.D. Green,8
.D. Gallinari,15
.D. Finney-Smith,10.2
.D. Augustin,13.2
.C. Paul,21.3
.C. McCollum,23.2
.C. LeVert,20.3
.C. Anthony,15.2
.B. Lopez,15.8
.B. Adebayo,17.8
.A. Iguodala,3.8
.A. Horford,7
.A. Davis,27.7
.A. Caruso,6.5
